trial,objective,stop_loss_pct,take_profit_pct,trailing_profit_pct,trailing_drawdown_pct,top_n,hold_days,observations,trades,total_return,max_drawdown,win_rate,sharpe,profit_factor,avg_trade_return,avg_period_return,params,backtest_config
1003,-12.5,-3.5,4.5,4.0,3.2,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.12, 'ret20': 0.08, 'ret5': 0.03, 'avgTurnover5': 0.12, 'volumeRatio5': 0.05, 'volatility10': 0.18, 'pullback10': 0.2, 'closeVsMa20': 0.12, 'closeVsMa60': 0.04, 'ret60': 0.02, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.06}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 4.0, 'weakTakeProfitPct': 4.0, 'exitDrawdownFromHighPct': 3.2}"
1004,-12.5,-3.5,4.5,4.0,3.2,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.15, 'ret20': 0.1, 'ret5': 0.04, 'avgTurnover5': 0.1, 'volumeRatio5': 0.04, 'volatility10': 0.16, 'pullback10': 0.18, 'closeVsMa20': 0.09, 'closeVsMa60': 0.05, 'ret60': 0.03, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.04}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 4.0, 'weakTakeProfitPct': 4.0, 'exitDrawdownFromHighPct': 3.2}"
1009,-12.5,-3.5,4.5,5.0,1.8,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.12, 'ret20': 0.08, 'ret5': 0.03, 'avgTurnover5': 0.12, 'volumeRatio5': 0.05, 'volatility10': 0.18, 'pullback10': 0.2, 'closeVsMa20': 0.12, 'closeVsMa60': 0.04, 'ret60': 0.02, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.06}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 5.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 1.8}"
1010,-12.5,-3.5,4.5,5.0,1.8,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.15, 'ret20': 0.1, 'ret5': 0.04, 'avgTurnover5': 0.1, 'volumeRatio5': 0.04, 'volatility10': 0.16, 'pullback10': 0.18, 'closeVsMa20': 0.09, 'closeVsMa60': 0.05, 'ret60': 0.03, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.04}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 5.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 1.8}"
1015,-12.5,-3.5,4.5,5.0,2.5,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.12, 'ret20': 0.08, 'ret5': 0.03, 'avgTurnover5': 0.12, 'volumeRatio5': 0.05, 'volatility10': 0.18, 'pullback10': 0.2, 'closeVsMa20': 0.12, 'closeVsMa60': 0.04, 'ret60': 0.02, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.06}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 5.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 2.5}"
1016,-12.5,-3.5,4.5,5.0,2.5,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.15, 'ret20': 0.1, 'ret5': 0.04, 'avgTurnover5': 0.1, 'volumeRatio5': 0.04, 'volatility10': 0.16, 'pullback10': 0.18, 'closeVsMa20': 0.09, 'closeVsMa60': 0.05, 'ret60': 0.03, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.04}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 5.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 2.5}"
1021,-12.5,-3.5,4.5,5.0,3.2,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.12, 'ret20': 0.08, 'ret5': 0.03, 'avgTurnover5': 0.12, 'volumeRatio5': 0.05, 'volatility10': 0.18, 'pullback10': 0.2, 'closeVsMa20': 0.12, 'closeVsMa60': 0.04, 'ret60': 0.02, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.06}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 5.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 3.2}"
1022,-12.5,-3.5,4.5,5.0,3.2,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.15, 'ret20': 0.1, 'ret5': 0.04, 'avgTurnover5': 0.1, 'volumeRatio5': 0.04, 'volatility10': 0.16, 'pullback10': 0.18, 'closeVsMa20': 0.09, 'closeVsMa60': 0.05, 'ret60': 0.03, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.04}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 4.5, 'takeProfitPartialPct': 5.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 3.2}"
1027,-12.5,-3.5,6.0,3.0,1.8,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.12, 'ret20': 0.08, 'ret5': 0.03, 'avgTurnover5': 0.12, 'volumeRatio5': 0.05, 'volatility10': 0.18, 'pullback10': 0.2, 'closeVsMa20': 0.12, 'closeVsMa60': 0.04, 'ret60': 0.02, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.06}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 6.0, 'takeProfitPartialPct': 3.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 1.8}"
1028,-12.5,-3.5,6.0,3.0,1.8,2,6,60,5,-0.008248939957600121,-0.02355224587420013,0.2,-1.06537722528483,0.7022745923791565,-0.006443191561109884,-0.00013603094026179245,"{'min_avg_amount_20': 200000000.0, 'min_price_above_ma20': True, 'min_trend_quality': 2, 'min_ma20_slope_5': -0.002, 'ret20_min': -0.02, 'ret20_max': 0.12, 'ret5_min': -0.045, 'ret5_max': 0.02, 'pullback10_min': -0.055, 'pullback10_max': -0.008, 'close_vs_ma20_min': -0.03, 'close_vs_ma20_max': 0.018, 'max_volatility10': 0.015, 'volume_ratio5_min': 0.65, 'volume_ratio5_max': 1.35, 'top_n': 30, 'weights': {'ret10': 0.15, 'ret20': 0.1, 'ret5': 0.04, 'avgTurnover5': 0.1, 'volumeRatio5': 0.04, 'volatility10': 0.16, 'pullback10': 0.18, 'closeVsMa20': 0.09, 'closeVsMa60': 0.05, 'ret60': 0.03, 'distanceToHigh20': 0.02, 'ma20Slope5': 0.04}}","{'topN': 5, 'maxPositions': 5, 'initialCapital': 10000000, 'lotSize': 100, 'slippageBp': 10, 'feeBp': 3, 'entryAt': 'next_open', 'maxHoldDays': 5, 'stopLossPct': -3.5, 'takeProfitPct': 6.0, 'takeProfitPartialPct': 3.0, 'weakTakeProfitPct': 5.0, 'exitDrawdownFromHighPct': 1.8}"
